title,author,publisher,price,rating,ratings_count
"I, Robot",Isaac Asimov,,9.67,3.77,13
The Library at Mount Char,Scott Hawkins,Titan Books,11.58,5.0,2
The Stolen Throne,David Gaider,Titan Books,11.58,3.9,1
Narcissistic Lovers - Second Edition (Unabridged),Cynthia Zayn,Armin Lear Press,11.58,3.9,1
Acceptance,Jeff  VanderMeer,,11.13,5.0,1
Wife Against Her Will,Sara Craven,,5.79,3.77,113
The Innocent Anthropologist,Nigel Barley,Eland Publishing,11.59,3.7,2
Повелитель мух / Lord of the Flies,William Gerald Golding,,3.69,4.8,5
The Three-Body Problem,Catherine Shaw,Allison & Busby,11.12,4.11,5
Mere Christianity,Clive Staples Lewis,,9.67,5.0,2
Treasure Island (Unabridged),Robert Louis Stevenson,Bookstream Audiobooks,11.58,5.0,1
"Water holds you (Вода держит тебя) – книга для изучения английского языка, уровень А2",Paul Livin,,6.05,4.87,15
Divided,Tim Marshall,Elliott & Thompson,12.16,3.4,1
1984. Animal Farm,George Orwell,,3.69,5.0,2
The Road Back / Возвращение,Erich Maria Remarque,,2.51,3.67,3
Лига перепуганных мужчин. Ниро Вульф. Книга 2 / Nero Wolfe. The League of Frightened Men,Rex Stout,,3.7,5.0,1
"Less Meat, Less Heat – A Recipe for Our Planet",Paul McCartney,Claudius,11.58,3.4,56
Boost up your English,Александр Чумаков,,9.87,4.89,126
Boost up your English,Александр Чумаков,,9.87,4.91,116
The Little Prince,"Antoine de Exupéry, Katherine Woods",E-Kitap Projesi & Cheapest Books,5.79,5.0,1
Dark Brilliance,Paul  Strathern,Atlantic Books,11.58,3.9,25
Flights,Olga Tokarczuk,Fitzcarraldo Editions,8.34,4.1,6
The idiot / Идиот,Fyodor Dostoyevsky,,6.78,3.0,1
The Rules for Marriage,"Ellen Fein, Sherrie  Schneider",,9.67,5.0,2
The Tales of Uncle Remus / Сказки дядюшки Римуса,Joel Chandler Harris,,3.7,5.0,3
The Flame Bearer,Bernard Cornwell,,9.67,5.0,1
The Ultimate Introduction to NLP: How to build a successful life,"Richard  Bandler, Alessio Roberti, Owen Fitzpatrick",HarperCollins Publishers,9.21,4.4,42
The Great Gatsby. B2 / Великий Гэтсби,Francis Scott Fitzgerald,,3.07,3.67,3
Мастер и Маргарита /The Master and Margarita,Mikhail Bulgakov,,3.07,3.8,19
The Fellowship of the Ring,J. R. r. tolkien,HarperCollins Publishers,8.88,5.0,28
Гордость и предубеждение / Pride and Prejudice,Jane Austen,,4.68,4.11,19
Great Moments of Humanity,Stefan Zweig,epubli,10.42,2.9,1
Зеленая миля / The Green Mile,Stephen King,,5.91,4.0,44
The Murder of Roger Ackroyd,Agatha Christie,HarperCollins Publishers,8.25,3.5,1
The Dictionary of Body Language,Joe Navarro,,9.67,3.58,12
"A Fantastic English Course. Change your mind, change your English, change your life",Александр Чумаков,,12.34,4.96,123
Crooked House / Скрюченный домишко,Agatha Christie,,4.31,3.6,5
Home In Carolina,Sherryl  Woods,,2.9,3.9,2
"Life Skills 101. Everything You Need, But Won’t Learn In School",Smart Reading,,9.49,5.0,6
"Трое в лодке, не считая собаки / Three Men in a Boat (To Say Nothing of the Dog)",Jerome K. Jerome,,3.07,5.0,2
Ignite Me,Tahereh Mafi,HarperCollins Publishers,7.88,5.0,1
The Twelve Chairs / Двенадцать стульев. Книга для чтения на английском языке,"Ilya Ilf, Yevgeny Petrov",,3.07,4.0,3
The Silver Serpent,Lena Jones,HarperCollins Publishers,6.9,5.0,1
Home Organisation And Decluttering,Jones Owen,,8.19,4.0,1
Night Train To Lisbon,Pascal Mercier,Atlantic Books,8.1,5.0,1
'Tis Pity She's a Whore,John Ford,Nick Hern Books,8.1,5.0,2
War of the Worlds,Herbert George Wells,L.A. Theatre Works,8.06,5.0,2
Pushkin,T. Binyon J.,,9.67,3.92,5
Quantum Representations and Their Applications in Diagnostics,Lev Kuravsky,,7.39,5.0,3
The Martian Chronicles / Марсианские хроники,Ray Douglas Bradbury,,4.93,5.0,1
Endless Night / Бесконечная ночь,Agatha Christie,,3.69,5.0,4
A Coffin from Hong Kong / Гроб из Гонконга. Книга для чтения на английском языке,James Hadley Chase,,3.69,4.72,18
No Longer Human,Osamu Dazai,,2.46,4.67,15
The Help / Прислуга. Книга для чтения на английском языке,Kathryn Stockett,,3.84,4.56,93
Anatomy of Human Figure. A Guide For Artists,Vladimir Mogilevtsev,Могилевцев В.А.,7.28,4.5,2
Reborn Assassin Princess,Amber Lew,04X4,8.1,5.0,1
The Call of Cthulhu / Зов Ктулху,Howard Phillips Lovecraft,,2.86,2.91,1
The Portrait of a Lady - The American Classics Children's Collection (Unabridged),Henry James,Sweet Cherry Publishing,10.42,3.4,8
Mansfield Park - Jane Austen Children's Stories (Easy Classics) (unabridged),"Gemma Barder, Jane Austen",Sweet Cherry Publishing,10.42,5.0,1
The Financier / Финансист. Книга для чтения на английском языке,Theodore Dreiser,,7.09,3.8,88
Jane Eyre,Charlotte Bronte,L.A. Theatre Works,8.06,4.5,2
Mindfulness And Meditation,Jones Owen,,7.02,4.8,1
The Case of the Stolen Sixpence,Holly Webb,Stripes Publishing,8.34,3.5,75
The Royal Puzzle,Catherine Nightingale,,9.87,5.0,1
Отель «Гранд Вавилон» / The Grand Babylon hotel,Arnold Bennett,,4.94,5.0,1
Geometry Essentials For Dummies,Mark  Ryan,,9.99,4.0,5
Tess of the d'Urbervilles / Тэсс из рода д´Эрбервиллей,Thomas Hardy,,3.44,5.0,1
Summary: Letting go. The Pathway of Surrender. David Hawkins,Smart Reading,,3.44,5.0,2
China,John  Keay,HarperCollins Publishers,9.26,5.0,2
"Exploring evaluative, emotive and persuasive strategies in discourse",AAVV,Publicacions de la Universitat de València,6.94,5.0,1
Self Leadership and the One Minute Manager: Gain the mindset and skillset for getting what you need to succeed,"Ken Blanchard, Susan Fowler, Laurence  Hawkins",,8.71,5.0,1
Simple Sabotage Field Manual (Unabridged),Office of Strategic Services,Toco Audio,6.94,3.0,1
A Girl Like You,Gemma  Burgess,,5.79,4.33,43
Me and Aaron Ramsey,Manon Steffan Ros,Firefly Press Ltd,5.55,3.0,1
Murder on the Orient Express / Убийство в «Восточном экспрессе»,Agatha Christie,,1.59,3.0,2
"Life Skills 101. Everything You Need, But Won’t Learn In School",Smart Reading,,9.49,5.0,2
Poirot Investigates,Agatha Christie,HarperCollins Publishers,8.25,4.3,1
The Journey: A Practical Guide to Healing Your life and Setting Yourself Free,Brandon Bays,,7.73,3.5,2
Ivermectin,Jean Pierre Wenger,MB Cooltura,5.79,4.7,1
Annihilation: The thrilling book behind the most anticipated film of 2018,Jeff  VanderMeer,,5.79,4.5,2
The Devil's Disciple,GEORGE BERNARD SHAW,L.A. Theatre Works,8.06,5.0,2
Major Barbara,GEORGE BERNARD SHAW,L.A. Theatre Works,8.06,3.0,1
Thank You Jeeves,P.G. Wodehouse,L.A. Theatre Works,8.06,3.6,86
The Code of the Woosters,P.G. Wodehouse,L.A. Theatre Works,8.06,3.8,1
The Grapes of Wrath,John Steinbeck,L.A. Theatre Works,8.06,4.25,13
Hallowe'en Party / Вечеринка на Хэллоуин. Книга для чтения на английском языке,Agatha Christie,,3.07,3.43,7
